26813,PID_PUGO,0x5910,,,,,
26909,PID_ISAIYA,0x5964,,,,,
27005,PID_ZAITAN,0x59B8,,,,,
27101,PID_BONARD,0x5A0C,,,,,
27197,PID_HELL,0x5A60,,,,,
27293,PID_DEATH,0x5AB4,,,,,
27389,PID_WAZECACA,0x5B08,,,,,
27485,PID_LABERTHON,0x5B60,,,,,
27581,PID_DZUR,0x5BB4,,,,,
27677,PID_RADMIM,0x5C08,,,,,
27773,PID_JELD,0x5C5C,,,,,
27869,PID_ZEFFREN,0x5CB0,,,,,
27965,PID_YEARDLEY,0x5D04,,,,,
28061,PID_MARJO,0x5D58,,,,,
28157,PID_TASHJORIA,0x5DAC,,,,,
28253,PID_RUDBECK,0x5E04,,,,,
28349,PID_SIDIAU,0x5E58,,,,,
28445,PID_ROMMITANA,0x5EAC,,,,,
28541,PID_ITOTS,0x5F00,,,,,
28637,PID_BEJONA,0x5F54,,,,,
28733,PID_KAZISA,0x5FA8,,,,,
28829,PID_LOMBROSO,0x5FFC,,,,,
28925,PID_KEZDHA,0x604C,,,,,
29021,PID_NOYCE,0x60A0,,,,,
29117,PID_RAO,0x60F4,,,,,
29213,PID_SERGEI,0x6148,,,,,
29309,PID_GORAN,0x619C,,,,,
29405,PID_YUMA,0x61F0,,,,,
29501,PID_CAHITALENO,0x6244,,,,,
29597,PID_VALTELOME,0x6298,,,,,
29693,PID_NUMIDA,0x62EC,,,,,
221,PID_IZCA,0xE0,,,,,
5405,PID_HETZEL,0x12D8,,,,,
7133,PID_LEKAIN,0x18C4,,,,,
7997,PID_RUBALE,0x1BAC,,,,,
2333,PID_DARKKNIGHT_0,0x824,,,,,
2429,PID_DARKKNIGHT,0x878,,,,,
4061,PID_DHEGINHANSEA,0xE28,,,,,
3197,PID_CEPHERAN,0xB20,,,,,
