myrmidon,42520
swdarmr,45648
swdknight,53264
thief,47416
soldier,43336
lncarmr,45240
lncknight,53400
pegknight,56256
fighter,44152
axearmr,45376
axeknight,53672
dragknight,56936
archer,44696
bowknight,53808
firemage,48368
thdrmage,48640
windmage,48776
lightmage,48912
priest,51904
lion,58024
tiger,58840
cat,59112
wolf,59656
hawk,60200
crow,60744
heron (rafiel),61832
reddrag,62376
whitedrag,62920
blackdrag,63464
null,0
hero,42248
swordmaster,42656
swdgeneral,46192
swdpaladin,53944
rogue,47552
halberdier,43472
lncgeneral,45784
lncpaladin,54080
falcoknight,56392
warrior,44288
axegeneral,45920
axepaladin,54352
dragmaster,57208
sniper,44832
bowpaladin,54624
firesage,49048
thdrsage,49456
windsage,49592
lightsage,49728
darksage,49864
druid,51496
bishop,52176
cleric,52992
lion,58024
tiger,58840
cat,59112
wolf,59656
hawk,60200
crow,60744
heron (rafiel),61832
reddrag,62376
whitedrag,62920
blackdrag,63464
heron (leanne),62104
heron (reyson),61560
null,0
vanguard,42384
trueblade,43064
swdmarshal,47008
swdgldknight,55440
sentinal,43880
lncmarshal,46736
lncslvknight,55848
seraphknight,56664
reaver,44560
axemarshal,46872
axegldknight,55576
dragonlord,57616
marksman,45104
bowslvknight,56120
whisper,47824
assassin,48096
firearchsage,50408
thdrarchsage,50816
windarchsage,50952
darkarchsage,50680
chancellor,51360
shaman,51088
saint,52584
queen,56800
valkyrie,53128
summoner,51768
empress,51224
kinglion,58432
queenwolf,59792
hawkking,60336
ravenking,61152
dragonking,63192
null,0
null,0
vanguard,42384
trueblade,43064
swdmarshal,47008
swdgldknight,55440
sentinal,43880
lncmarshal,46736
lncslvknight,55848
seraphknight,56664
reaver,44560
axemarshal,46872
axegldknight,55576
dragonlord,57616
marksman,45104
bowslvknight,56120
whisper,47824
assassin,48096
firearchsage,50408
thdrarchsage,50816
windarchsage,50952
darkarchsage,50680
chancellor,51360
priestess,51088
saint,52584
queen,56800
valkyrie,53128
summoner,51768
empress,51224
lion,58024
tiger,58840
cat,59112
wolf,59656
hawk,60200
raven,60744
reddrag,62376
whitedrag,62920
blackdrag,63464
